i001.s001.t002	i001.s001.t002	bn:00028015n						
i001.s001.t005	i001.s001.t005	bn:00075142n						
i001.s001.t008	i001.s001.t008	bn:00067181n	bn:08904168n	wiki:relazione_(testo)	wiki:report_informativo			
i001.s001.t009	i001.s001.t009	bn:00109211a						
i001.s001.t011	i001.s001.t011	bn:00005120n	bn:00031972n					
i001.s001.t012	i001.s001.t012	bn:00102440a						
i001.s002.t003	i001.s002.t003	bn:00086612v						
i001.s002.t005	i001.s002.t005	bn:00001965n						
i001.s002.t009	i001.s002.t009	bn:00011638n	bn:00021015n	wiki:comitato_(collegio)				
i001.s002.t009	i001.s002.t015	bn:00302314n						
i001.s002.t012	i001.s002.t012	bn:00054128n	bn:00061887n	wiki:farmaco				
i001.s002.t014	i001.s002.t014	bn:00030627n	bn:00079370n					
i001.s002.t015	i001.s002.t015	bn:00104385a						
i001.s002.t017	i001.s002.t017	bn:00302314n						
i001.s002.t020	i001.s002.t020	bn:00082720v						
i001.s002.t022	i001.s002.t022	bn:00074790n						
i001.s002.t022	i001.s002.t023	bn:00069678n	wiki:metodo_scientifico					
i001.s002.t023	i001.s002.t023	bn:00110175a						
i001.s002.t024	i001.s002.t024	bn:00082225v	bn:00082311v					
i001.s002.t027	i001.s002.t027	bn:00082799v						
i001.s002.t029	i001.s002.t029	bn:00001592n	bn:00066562n					
i001.s002.t032	i001.s002.t032	bn:00082705v	bn:00089140v					
i001.s002.t034	i001.s002.t034	bn:00054128n	bn:00061887n	wiki:farmaco				
i001.s003.t002	i001.s003.t002	bn:00104887a						
i001.s003.t003	i001.s003.t003	bn:00046705n	bn:00057548n	wiki:informazione				
i001.s003.t004	i001.s003.t004	bn:00083240v						
i001.s003.t006	i001.s003.t006	bn:00096707a						
i001.s003.t007	i001.s003.t007	bn:00021644n	bn:00021648n					
i001.s003.t012	i001.s003.t012	bn:00047235n	bn:00076843n	wiki:terapia				
i001.s003.t014	i001.s003.t014	bn:00092424v						
i001.s003.t016	i001.s003.t016	bn:00062308n						
i001.s003.t016	i001.s003.t017	bn:02573503n	wiki:foglietto_illustrativo					
i001.s003.t019	i001.s003.t019	bn:00082893v						
i001.s003.t024	i001.s003.t024	bn:00085574v	bn:00093431v					
i001.s003.t026	i001.s003.t026	bn:00027976n	bn:00054116n	wiki:medico				
i001.s003.t029	i001.s003.t029	bn:00004992n	wiki:farmacista	wiki:speziale				
i001.s004.t002	i001.s004.t002	bn:00104887a						
i001.s004.t003	i001.s004.t003	bn:00046705n	bn:00057548n	wiki:informazione				
i001.s004.t004	i001.s004.t004	bn:00066865n						
i001.s004.t006	i001.s004.t006	bn:00048673n						
i001.s004.t008	i001.s004.t008	bn:00001592n	bn:00066562n					
i001.s004.t010	i001.s004.t010	bn:00302314n						
i001.s004.t012	i001.s004.t012	bn:00092424v						
i001.s004.t014	i001.s004.t014	bn:00005601n	bn:00027523n	wiki:dibattito				
i001.s004.t015	i001.s004.t015	bn:00110175a						
i001.s004.t019	i001.s004.t019	bn:00082893v						
i001.s005.t002	i001.s005.t002	bn:00076924n						
i001.s005.t004	i001.s005.t004	bn:00602447n						
